themeCode,themeName,stockCode,stockName,info
106,바이오인식(생체인식),A042510,라온시큐어,"모바일, 유비쿼터스 및 기기인증 보안 솔루션을 보유한 전문 보안 솔루션 개발 업체. 공인인증서나 액티브엑스(ActiveX)를 설치하지 않고 비밀번호 입력도 없이 지문, 홍채, 얼굴인식 등의 생체인식이나 핀(PIN) 번호로 간편하게 본인 인증할 수 있는 바이오인증 기반 FIDO 간편인증/결제 기술 개발."
106,바이오인식(생체인식),A097520,엠씨넥스,"카메라 모듈 전문업체. 생체인식모듈(지문, 홍채, 안면)을 개발 및 생산."
106,바이오인식(생체인식),A091700,파트론,삼성전자 갤럭시노트7에 홍채인식 카메라모듈 납품. 당사의 지문인식과 홍채인식 모듈을 스마트폰에 채용중.
106,바이오인식(생체인식),A077500,유니퀘스트,계열사 드림텍이 삼성전자 스마트폰에 지문인식 관련 모듈을 공급.
106,바이오인식(생체인식),A096640,멜파스,"정전용량방식의 지문인식 칩, 솔루션 개발."
106,바이오인식(생체인식),A203450,유니온커뮤니티,"지문인식 기술을 이용한 제품 및 솔루션을 제공하는 바이오인식 전문업체. 주요 제품으로 지문인식 출입통제기, 지문 모듈 및 등록기, 카드인식 출입통제기 등이 있음. 18년7월 바이오인식 제품 개발 및 제조, 판매업체 (주)니트젠 흡수합병."
106,바이오인식(생체인식),A203650,드림시큐리티,"보안 솔루션 전문업체로 PKI기반의 정보보안, 인증솔루션, 시스템 구축 및 개인정보보호 서비스 제공 사업을 영위. 16년 공인인증서와 연계한 바이오인증솔루션과 FIDO 기반의 생체인증솔루션(Magic FIDO) 출시."
106,바이오인식(생체인식),A036810,에프에스티,"해외 20여개 주요 반도체 기업과 전략적 Partnership을 통해 국내 시장에 대한 독점/비독점적 지위를 갖고 모바일, Display, 자동차, CCTV, 동작센서, 산업용GPS 등에 Solution을 제공. 오슬람으로부터 칩을 공급 받아 홍채관련 조립회사에 공급한 바 있음(삼성전자에서 사용)."
106,바이오인식(생체인식),A094170,동운아나텍,팹리스(Fabless) 아날로그 반도체 업체. 생체인증 솔루션의 핵심 기술인 지문인식 알고리즘(Algorithm) 기술개발을 완료해 다양한 제품 적용을 위한 프로모션과 글로벌 메이커들과의 협력을 통해 시장 진입을 추진중.
106,바이오인식(생체인식),A131090,시큐브,생체수기서명 인증기술 관련 특허 취득.
106,바이오인식(생체인식),A192650,드림텍,"스마트폰용 PBA 모듈, 디스플레이 PBA 모듈, 지문인식센서모듈 등을 제조. 삼성전자의 1차 벤더임."
106,바이오인식(생체인식),A317770,슈프리마아이디,"지문등록기기 및 지문인증기기 전문업체. 바이오 정보를 등록, 인증 및 활용하는 데 필수적인 각종 디바이스와 솔루션을 자체 개발하여 생산 및 판매. Biometric Solutions(지문 등록 및 인증 스캐너 등)와 eDocument Solutions(여권판독기 등) 사업을 주 사업으로 영위하고 있으며, Digital Security Solutions(바이오전자서명 기기, 보안토큰 등)사업을 신규 사업으로 추진중."
108,"백신/진단시약/방역(신종플루, AI 등)",A072020,중앙백신,"동물백신 제조를 주요 사업으로 영위하는 업체. 동물백신을 축종에 따라 수이샷 양돈백신, 포울샷 가금백신, 캐니샷 애견백신, 보비샷 축우백신 등으로 제조 및 판매. 이와 함께 사료첨가제, 소독제 등의 일반제제 동물약품과 생물학적제제 관련 용역을 제공."
108,"백신/진단시약/방역(신종플루, AI 등)",A054670,대한뉴팜,"동물의약품(동물 치료제, 영양제, 가축용 백신제제 등) 등을 영위."
108,"백신/진단시약/방역(신종플루, AI 등)",A044960,이글벳,"동물약품 전문 제조 및 수입업체. 첨가제, 수용산제, 주사제, 액제 등 동물약품 생산/판매 사업 등을 영위. 신규사업으로 반려동물용 약품, 사료, 부외품 등을 제조 및 수입 판매."
108,"백신/진단시약/방역(신종플루, AI 등)",A006280,녹십자,"의약품에 대한 연구개발, 제조, 판매 등을 하고 있으며, 전문의약품에서부터 일반의약품에 이르기까지 폭넓은 제품 라인을 보유. 국내 최초로 AIDS진단시약을 개발하는 등 바이오의약품 분야에서 차별화된 노하우와 경쟁력을 확보중. 백신제품과 혈액관련제품이 전체 매출액의 대부분을 차지."
108,"백신/진단시약/방역(신종플루, AI 등)",A048530,인트론바이오,"다수의 국가방역기관 등과 조류독감, 돼지독감, 구제역 등의 동물용 분자진단제를 공동개발하여 공급중. 또한 여러 대기업들과 살모넬라진단, VRE 진단, 및 성매개감염 등의 진단제품을 공동개발중."
108,"백신/진단시약/방역(신종플루, AI 등)",A043200,파루,"농축산 관련 방역소독기, 천연살균탈취제(플루데이), 손세정제(플루) 등 생산."
108,"백신/진단시약/방역(신종플루, AI 등)",A005250,녹십자홀딩스,"녹십자그룹 지주회사로 녹십자, 녹십자랩셀, 녹십자엠에스 등을 자회사로 보유."
108,"백신/진단시약/방역(신종플루, AI 등)",A007570,일양약품,"충북 음성에 연간 최대 6,000만 도스(does) 생산 규모의 인플루엔자 백신공장을 준공해 본격 생산판매 돌입. 계절 독감백신을 생산/판매 중이며, 새로운 고부가치 백신으로 3,4가 플루백신, 조류독감백신 등 다양한 백신을 생산/판매하기 위해 백신사업에 지속적으로 R&D투자를 진행중."
108,"백신/진단시약/방역(신종플루, AI 등)",A064550,바이오니아,"유전자 연구개발 관련 기초 재료 및 장비생산업체. 유전자연구/분자진단용 기초 소재 및 시약, 분자진단키트, 유전자 추출/증폭/정량분석장비, 분자진단 장비 등을 개발/생산."
108,"백신/진단시약/방역(신종플루, AI 등)",A109820,진매트릭스,"유전자 분석 및 맞춤의료를 위한 분자진단 사업을 영위하는 업체. 진단, 의료기기, 천연물을 포함한 신약 및 친환경과 관련한 기술, 제품 또는 상품을 연구개발, 제조, 판매하는 사업을 영위."
108,"백신/진단시약/방역(신종플루, AI 등)",A003120,일성신약,"항생제(오구멘틴 등), 경구용단백분해효소저해제(호이판 등), 마취제(세보프레인 등), 골질환치료제(원알파) 등의 의약품 제조, 판매."
108,"백신/진단시약/방역(신종플루, AI 등)",A003850,보령제약,"의약품사업을 영위하는 제약 전문업체. 주요 제품으로 위장병, 고혈압, 위궤양 치료제 및 항생제 등의 제품과 인플루엔자 백신, 항암 치료제 및 항고지혈증제 등. 18년8월 인플루엔자 비알플루텍테트라 백신, 보령타미캡슐 개발 완료."
108,"백신/진단시약/방역(신종플루, AI 등)",A096530,씨젠,"유전자(DNA 및 RNA) 분석을 통해 질병의 원인을 감별하는 분자진단 시약 개발 제조/공급 업체. 높은 기술력으로 양대 분자진단 방법 기반의 DPO™, TOCE™, MuDT™ 등의 기술 보유. 주요 제품으로 호흡기 질환 검사제품(신종플루, 계절성 독감, 코로나 바이러스, 폐렴 원인균 등 26종 검사), 성감염증 검사 제품(임질, 매독, 클라미디아, 헤르페스, 진균 등 28종 검사), 인유두종 바이러스 검사제품(자궁경부암 원인 바이러스 28종 검사) 등이 있음."
108,"백신/진단시약/방역(신종플루, AI 등)",A011000,진원생명과학,"의류용 심지와 바이오의약품 사업을 영위하는 업체. 바이오의약품 사업은 바이오의약품 CMO사업과 플라스미드 DNA기반 신약개발사업으로 구분됨. 임상시험에 필요한 유전자치료제 및 DNA백신의 원료인 국제규격(cGMP) 플라스미드(Plasmid) DNA 제품을 미국 현지법인인 VGXI, Inc.에서 생산하여 판매하고 있으며, 유니버설 인플루엔자 예방용 DNA백신과 만성C형 간염 치료용 DNA백신을 파이프라인으로 보유."
108,"백신/진단시약/방역(신종플루, AI 등)",A060590,씨티씨바이오,"미생물배양과 발효기술, 제약기술 등의 생명공학분야 전문 연구기업. 조류인플루엔자(AI) 대상의 소독제 및 진단키트를 해외에서 수입하여 판매중."
108,"백신/진단시약/방역(신종플루, AI 등)",A014570,고려제약,"일반의약품에 지명도 있는 중소 제약업체로 주요 제품으로는 종합감기약(하벤), 항생항균제, 기타 알레르기 질환 치료제 등을 보유."
108,"백신/진단시약/방역(신종플루, AI 등)",A019170,신풍제약,"원료 자체 개발 능력을 보유한 의약품 제조, 판매 업체. 동사가 판매하고 있는 항생제에 세계 보건기구가 사스 치료제로 권고한 ""리바비린"" 성분이 포함됨."
108,"백신/진단시약/방역(신종플루, AI 등)",A024720,한국콜마홀딩스,"세포배양방식의 조류와 유행성 독감백신, 탄저균백신을 개발해 미국내 임상을 진행중인 Altimmune, Inc.社 지분 보유."
108,"백신/진단시약/방역(신종플루, AI 등)",A036480,대성미생물,"동물용 의약품 전문 제조업체로 돼지, 닭 등의 가축과 양식어류 등을 대상으로 하는 백신, 효소제, 생균제, 미생물결합 광물질제, 주사제(항균제, 영양제 등) 등의 제품을 생산."
108,"백신/진단시약/방역(신종플루, AI 등)",A041960,코미팜,"동물용 백신과 소독제(구제역, 조류인플루엔자(AI), 돼지콜레라 등), 각종 예방약인 백신제 및 치료제인 주사제, 영양제 등의 동물용 의약품 전문 제조업체."
108,"백신/진단시약/방역(신종플루, AI 등)",A043090,큐브앤컴퍼니,"의약품원료의 제조 및 판매를 주요사업으로 영위하는 업체. 타미플루의 주원료인 ""인산 오셀타미비르""를 생산하는 중간체에 대해 국제특허(PCT) 출원."
108,"백신/진단시약/방역(신종플루, AI 등)",A052670,제일바이오,"동물의약품 전문 생산업체. 발효를 기반으로 하는 동물의약품을 연구개발/제조/판매하고 있으며, 제품제형화와 일반사료첨가제 사업에 대한 연구개발 성과를 상업화 중. 닭, 돼지, 소의 기능성 사료첨가제와 치료용 주사제, 진단키트(질병진단), 백신(질병예방) 등을 생산."
108,"백신/진단시약/방역(신종플루, AI 등)",A061250,화일약품,원료의약품 제조 및 판매업체. 세팔로스포린계 항생제 제품 생산.
108,"백신/진단시약/방역(신종플루, AI 등)",A033250,체시스,"계열회사 넬바이오텍이 동물약품, 단미사료, 기능성비료, 동물약품원료 제조/도매 및 농수축산용기자재 도소매 등 동물용 의약품 제조업 영위."
108,"백신/진단시약/방역(신종플루, AI 등)",A003060,에이프로젠제약,"항생제, 순환기제, 소화기제, 소염진통제 등 140여 품목의 의약품을 생산/판매. 중동호흡기증후군(메르스) 치료 사용 항바이러스제 보유."
108,"백신/진단시약/방역(신종플루, AI 등)",A950130,엑세스바이오,"진단제품 생산 전문 업체. 체외진단 기술을 토대로 말라리아 진단시약과 에이즈(HIV) 진단용스트립(반제품) 등의 진단 제품을 개발, 제조, 판매하는 사업을 영위중."
108,"백신/진단시약/방역(신종플루, AI 등)",A185750,종근당,조류인플루엔자(AI) 치료제인 '타미플루' 원료를 독자기술로 개발.
108,"백신/진단시약/방역(신종플루, AI 등)",A000100,유한양행,스위스 로슈사로부터 조류인플루엔자(AI) 치료제인 타미플루 국내 공급자로 선정된 바 있음. 2017년 8월 스위스 다국적제약사 로슈 타미플루 국내 특허 만료 후 타미플루 '유한엔플루캡슐' 생산 및 판매중.
108,"백신/진단시약/방역(신종플루, AI 등)",A018620,우진비앤지,"동물약품 및 미생물제제(동물약품, 인체원료의약품, 미생물 농자재) 제조업체로 조류독감 예방치료제, 면역증강제 등을 생산/판매."
108,"백신/진단시약/방역(신종플루, AI 등)",A182400,엔케이맥스,실험용시약(시누클린재조합 유전자단백질항체) 제조 및 공급/판매업을 주사업으로 영위하는 업체. 세계 최초로 전혈에서의 NK 세포 활성도 측정법을 이용한 면역력 측정이 가능한 키트(체외진단분석용 기기-암 진단키트) 개발.
